Local authority,Class,Trading_201617,Trading_201718,Trading_201819,Average,Population_2018,Trading_201617_popweight,Trading_201718_popweight,Trading_201819_popweight
Poole UA******,Unitary authority,0,0,0,0,151500,0,0,0
Stoke-on-Trent UA,Unitary authority,0,0,0,0,255833,0,0,0
Torbay UA,Unitary authority,0,0,0,0,135780,0,0,0
Wiltshire UA,Unitary authority,0,0,0,0,498064,0,0,0
Wokingham UA,Unitary authority,0,0,0,0,167979,0,0,0
East Riding of Yorkshire UA,Unitary authority,72,19,1,92,339614,0.212005394,0.055945868,0.002944519
Stockton-on-Tees UA,Unitary authority,-241,561,47,367,197213,-1.222028974,2.844640059,0.238321003
Shropshire UA,Unitary authority,502,274.93,-28.33,748.6,320274,1.567407907,0.858421227,-0.08845551
Blackpool UA,Unitary authority,0,0,482,482,139305,0,0,3.460033739
Northumberland UA,Unitary authority,857,2921,722,4500,320274,2.675833817,9.12031573,2.254319739
Cheshire East UA,Unitary authority,1836,2186,1517,5539,380790,4.821555188,5.740696972,3.983823105
Bracknell Forest UA,Unitary authority,7279,-328,645,7596,121676,59.82280811,-2.695683619,5.300963214
